Date,Close,Volume,TB_para,TB_sent,USD_INR,Nifty
2015-01-01,3340.75,299232,0.25,0.125,63.355,
2015-01-02,3359.600098,233924,0.0,0.0,63.285,8395.450195
2015-01-05,3447.800049,536747,0.0,0.0,63.345,8378.400391
2015-01-06,3395.25,422743,0.0,0.0,63.575,8127.350098
2015-01-07,3437.75,369241,0.0,0.0,63.28,8102.100098
2015-01-08,3475.5,422022,0.0,0.0,62.675,8234.599609
2015-01-09,3468.199951,194054,0.0,0.0,62.355,8284.5
2015-01-12,3462.899902,152803,0.0,0.0,62.075,8323.0
2015-01-13,3468.25,237771,0.0,0.0,61.98,8299.400391
2015-01-14,3516.0,429069,0.0,0.0,62.095,8277.549805
2015-01-15,3625.800049,670686,0.0,0.0,62.065,8494.150391
2015-01-16,3616.600098,379075,0.0,0.0,61.87,8513.799805
2015-01-19,3626.25,192537,0.0,0.0,61.645,8550.700195
2015-01-20,3605.550049,333315,0.0,0.0,61.655,8695.599609
2015-01-21,3634.699951,402419,0.0,0.0,61.56,8729.5
2015-01-22,3597.25,318883,0.0,0.0,61.605,8761.400391
2015-01-23,3606.699951,337571,0.0,0.0,61.44,8835.599609
2015-01-27,3687.899902,1278436,-0.5,-0.1,61.41,8910.5
2015-01-28,3725.800049,672705,0.0,0.0,61.358,8914.299805
2015-01-29,3688.800049,603103,0.5,0.166666666667,61.801,8952.349609
2015-01-30,3647.350098,284786,0.0,0.0,62.02,8808.900391
2015-02-02,3669.449951,319679,0.0,0.0,61.719,8797.400391
2015-02-03,3607.850098,220676,0.0,0.0,61.596,8756.549805
2015-02-04,3557.550049,203545,0.0,0.0,61.842,8723.700195
2015-02-05,3522.699951,379633,0.0,0.0,61.709,8711.700195
2015-02-06,3502.600098,198214,0.113636363636,0.0568181818182,61.97,8661.049805
2015-02-09,3411.300049,286868,0.0,0.0,62.149,8526.349609
2015-02-10,3393.850098,547537,0.0,0.0,62.327,8565.549805
2015-02-11,3454.75,341769,0.0,0.0,62.382,8627.400391
2015-02-12,3551.899902,436882,0.0,0.0,62.15,8711.549805
2015-02-13,3616.949951,321186,0.0,0.0,62.076,8805.5
2015-02-16,3572.100098,260901,0.0,0.0,62.105,8809.349609
2015-02-18,3564.949951,161803,0.0,0.0,62.057,8869.099609
2015-02-19,3595.149902,214789,0.0,0.0,62.138,8895.299805
2015-02-20,3547.350098,240749,0.0,0.0,62.109,8833.599609
2015-02-23,3545.899902,163132,0.0,0.0,62.163,8754.950195
2015-02-24,3588.300049,143983,0.0,0.0,62.17,8762.099609
2015-02-25,3579.899902,173339,0.0,0.0,61.862,8767.25
2015-02-26,3496.850098,429598,0.0,0.0,61.731,8683.849609
2015-02-27,3604.399902,378654,0.0,0.0,61.659,8844.599609
2015-02-27,3604.399902,378654,0.0,0.0,61.659,8844.599609
2015-03-02,3711.449951,386182,0.0,0.0,61.862,8956.75
2015-03-03,3708.649902,206296,0.0,0.0,61.819,8996.25
2015-03-04,3678.399902,340907,0.0,0.0,62.309,8922.650391
2015-03-05,3678.75,152837,0.0,0.0,62.381,8937.75
2015-03-09,3671.300049,218786,0.0,0.0,62.634,8756.75
2015-03-10,3646.75,182667,0.0,0.0,62.72,8712.049805
2015-03-11,3656.449951,198508,0.0,0.0,62.781,8699.950195
2015-03-12,3685.199951,308505,0.1,0.04,62.542,8776.0
2015-03-13,3650.699951,363024,0.0,0.0,63.083,8647.75
2015-03-16,3647.050049,182829,0.0,0.0,62.78,8633.150391
2015-03-17,3661.550049,185250,0.0,0.0,62.623,8723.299805
2015-03-18,3664.899902,177261,0.0,0.0,62.701,8685.900391
2015-03-19,3655.0,252139,0.0,0.0,62.49,8634.650391
2015-03-20,3623.850098,206403,0.0,0.0,62.41,8570.900391
2015-03-23,3594.399902,192986,0.0,0.0,62.23,8550.900391
2015-03-24,3587.300049,227226,0.0,0.0,62.348,8542.950195
2015-03-25,3614.75,201854,0.0,0.0,62.412,8530.799805
2015-03-26,3561.449951,489101,0.0,0.0,62.836,8342.150391
2015-03-27,3610.050049,204071,0.0,0.0,62.523,8341.400391
2015-03-30,3660.949951,152167,0.0,0.0,62.51,8492.299805
2015-03-31,3697.350098,294635,0.0,0.0,62.291,8491.0
2015-04-01,3644.699951,694487,0.0,0.0,62.142,8586.25
2015-04-06,3628.949951,262771,0.5,0.166666666667,62.207,8659.900391
2015-04-07,3599.899902,306684,0.0,0.0,62.296,8660.299805
2015-04-08,3628.699951,256031,0.0,0.0,62.192,8714.400391
2015-04-09,3659.199951,238584,0.0,0.0,62.306,8778.299805
2015-04-10,3666.600098,201302,0.0,0.0,62.276,8780.349609
2015-04-13,3665.199951,218690,0.0,0.0,62.407,8834.0
2015-04-15,3680.25,232802,0.0,0.0,62.36,8834.0
2015-04-16,3677.899902,206305,0.0,0.0,62.317,8706.700195
2015-04-17,3646.800049,99056,0.0,0.0,62.55,8606.0
2015-04-20,3608.050049,175033,0.0,0.0,63.137,8448.099609
2015-04-21,3490.149902,482786,0.0,0.0,62.854,8377.75
2015-04-22,3462.949951,422446,0.0,0.0,62.98,8429.700195
2015-04-23,3494.449951,234616,0.0,0.0,63.277,8398.299805
2015-04-24,3541.399902,332449,0.0,0.0,63.662,8305.25
2015-04-27,3648.399902,1804129,0.155555555556,0.0518518518519,63.346,8213.799805
2015-04-28,3822.600098,1129937,0.5,0.125,63.053,8285.599609
2015-04-29,3766.199951,703698,0.0,0.0,63.46,8239.75
2015-04-30,3725.850098,592304,0.0,0.0,63.529,8181.5
2015-05-04,3757.75,478823,0.25,0.125,63.516,8331.950195
2015-05-05,3793.050049,458196,0.5,0.25,63.369,8324.799805
2015-05-06,3634.550049,430929,0.0,0.0,63.621,8097.0
2015-05-07,3543.600098,469950,0.0,0.0,64.073,8057.299805
2015-05-08,3610.550049,495595,0.0,0.0,63.711,8191.5
2015-05-11,3651.699951,288810,0.0,0.0,64.007,8325.25
2015-05-12,3577.449951,332314,0.0,0.0,64.147,8126.950195
2015-05-13,3604.100098,337505,0.0,0.0,64.013,8235.450195
2015-05-14,3646.5,287801,0.0,0.0,63.383,8224.200195
2015-05-15,3671.199951,208258,0.1,0.025,63.44,8262.349609
2015-05-18,3697.600098,183483,0.0,0.0,63.708,8373.650391
2015-05-19,3706.75,175567,0.0,0.0,63.763,8365.650391
2015-05-20,3711.899902,218115,0.0,0.0,63.598,8423.25
2015-05-21,3698.100098,198709,0.0,0.0,63.58,8421.0
2015-05-22,3702.550049,135158,0.0,0.0,63.49,8458.950195
2015-05-25,3692.75,81113,0.0,0.0,63.496,8370.25
2015-05-26,3726.449951,252919,0.0,0.0,63.972,8339.349609
2015-05-27,3721.899902,283565,0.0,0.0,63.826,8334.599609
2015-05-28,3708.899902,317937,0.0,0.0,63.763,8319.0
2015-05-29,3785.699951,432656,0.0,0.0,63.743,8433.650391
2015-06-01,3882.850098,571376,0.0,0.0,63.594,8433.400391
2015-06-02,3831.399902,329350,0.0,0.0,63.689,8236.450195
2015-06-03,3777.199951,277700,0.0,0.0,63.997,8135.100098
2015-06-04,3772.050049,193996,0.0,0.0,63.964,8130.649902
2015-06-05,3759.449951,253728,-0.0318181818182,-0.0106060606061,63.77,8114.700195
2015-06-08,3723.5,303682,0.0,0.0,63.947,8044.149902
2015-06-09,3692.300049,209963,0.0,0.0,64.01,8022.399902
2015-06-10,3742.550049,239272,0.433333333333,0.144444444444,63.766,8124.450195
2015-06-11,3701.399902,226654,0.0,0.0,63.959,7965.350098
2015-06-12,3736.800049,173412,0.0,0.0,64.1,7982.899902
2015-06-15,3767.399902,175936,0.0,0.0,64.085,8013.899902
2015-06-16,3789.600098,228783,0.0,0.0,64.166,8047.299805
2015-06-17,3808.75,291820,0.0,0.0,64.011,8091.549805
2015-06-18,3861.100098,232645,0.5,0.166666666667,63.577,8174.600098
2015-06-19,3937.350098,309290,0.0,0.0,63.5,8224.950195
2015-06-22,3980.649902,230791,0.0,0.0,63.523,8353.099609
2015-06-23,4017.149902,330957,0.0,0.0,63.607,8381.549805
2015-06-24,4009.300049,306048,0.0,0.0,63.526,8360.849609
2015-06-25,4031.5,240888,0.5,0.125,63.518,8398.0
2015-06-26,4069.949951,291925,0.0,0.0,63.452,8381.099609
2015-06-29,3993.300049,344044,0.0,0.0,63.707,8318.400391
2015-06-30,4023.350098,340789,0.0,0.0,63.604,8368.5
2015-07-01,4031.699951,380963,0.0,0.0,63.55,8453.049805
2015-07-02,3993.399902,322025,-0.1,-0.0333333333333,63.299,8444.900391
2015-07-03,3998.899902,279389,0.0,0.0,63.411,8484.900391
2015-07-06,3987.949951,332811,0.136363636364,0.0454545454545,63.264,8522.150391
2015-07-07,3972.149902,287981,0.0,0.0,63.476,8510.799805
2015-07-08,3949.0,252360,0.0,0.0,63.459,8363.049805
2015-07-09,3935.649902,128065,0.0,0.0,63.318,8328.549805
2015-07-10,3934.399902,184572,0.0,0.0,63.358,8360.549805
2015-07-13,4035.25,335198,0.0,0.0,63.45,8459.650391
2015-07-14,4050.649902,251002,0.0,0.0,63.281,8454.099609
2015-07-15,4152.149902,551469,0.25,0.1,63.507,8523.799805
2015-07-16,4178.149902,321651,0.0,0.0,63.463,8608.049805
2015-07-17,4193.0,241023,0.0,0.0,63.492,8609.849609
2015-07-20,4176.049805,207897,0.0,0.0,63.6,8603.450195
2015-07-21,4152.850098,146004,0.0,0.0,63.583,8529.450195
2015-07-22,4191.149902,305466,0.0,0.0,63.571,8633.5
2015-07-23,4234.049805,229845,0.0,0.0,63.921,8589.799805
2015-07-24,4234.200195,226189,0.0,0.0,64.106,8521.549805
2015-07-27,4178.100098,220316,0.5,0.125,64.202,8361.0
2015-07-28,4196.950195,940179,0.0,0.0,63.799,8337.0
2015-07-29,4273.700195,819323,0.227272727273,0.0378787878788,63.821,8375.049805
2015-07-30,4296.450195,294361,-0.1,-0.02,64.138,8421.799805
2015-07-31,4331.450195,297226,0.0,0.0,63.988,8532.849609
2015-08-03,4427.049805,341893,0.0,0.0,64.177,8543.049805
2015-08-04,4438.799805,313075,0.0,0.0,63.798,8516.900391
2015-08-05,4471.649902,198485,0.0,0.0,63.692,8567.950195
